model,rmse,mae,r2
rf,4.418427083522101,0.6746139406970347,0.8962058581905219
gb,4.444228515795041,0.9327324918135721,0.8949901057619843
lasso,5.892470345257649,2.5540498721123863,0.8153997567771617
lr,5.899416433387781,2.5355172645983166,0.8149642839632887
ridge,5.899425753473481,2.535561595512848,0.8149636993122091
voting_regressor,7.747205436637715,1.4786509365353524,0.6808994131737738
xgb,18.734044035880444,0.965503209478141,-0.8659522731575324
mlp,41.28723897686706,3.541751484271152,-8.062940731983065
